DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT12R,DA0912DR12R,DAGC4X12R,DAGC5X11R,DA0GR12N,DA0GH12N,DA00A001513R,DA00AR01513R,DA00AW01513R,DA00AM01513R,DA00AC01513R,DA00AS01513R,DB00A001513R,DH00A001513R,DW00A001513R,DI00A001513R,D300A001513R,D400A001513R,D200A001513R,DE00A001513R,DA0CT12R,DA0CC12R,DA0CSA12R,DA0CAA12R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
SPURGER ISD,229905,229 TYLER,05,Met Standard,2,421,1,3.6,93.1,1.4,0,0,1,57.5,0,11.2,0,23.3,3.3,95.3,0,76.5,100,13,8,73,81,57,71,77,69,.,82,72,76,.,.,83,72,92.3,0,.,17,65.7,34.4,1.5,3,2.1,52.4,11.9,29,92004,61441,46528,41605,1.5,6.4,12.2,14.5,12,15.8,17.3,0,2.9,97.1,0,78.7,5.2,2.9,0,9.1,4.1,175072,1.18,4213284,11001,62.6,21.5,15.9,1454582,0,3888703,3356024,8762,52.5,9.7,7.8,12.2,17.8,1761799,4600,66,11.4,11.6,0,6.1,0.1,2.9,0.7,0.9,0.3,Under 500,Rural,"$148,669 to < $184,624",$1.1254 to under $1.2321
CHESTER ISD,229906,229 TYLER,05,Met Standard,2,181,12.2,2.8,84,0,0,0,1.1,56.4,0.6,15.5,0,22.7,1.7,96.2,0,90,100,10,8,71,82,48,69,74,72,59,100,72,.,.,.,.,70,60,16.7,-1,20.4,32.6,17.3,1,2,4.5,52.9,6.1,33.3,48783,48783,36033,37094,6.9,5.6,10.5,52.2,10.2,17.4,32.9,5.8,5.8,81.2,7.2,90.4,1.7,0,0,8,0,348628,1.093,1860116,10509,47.8,40.2,12,79277,0,1889608,1724234,9741,51.8,11.8,5.3,11.2,20,892448,5042,59,12.5,15.8,0,5.3,0.2,7,0.2,0,0,Under 500,Rural,"$338,619 to < $381,395",Under $1.1254
BIG SANDY ISD,230901,230 UPSHUR,07,Met Standard,3,716,12.8,6.7,74.7,0.4,1,0.1,4.2,68,2.2,11.9,2.2,24.2,6.3,95.3,0.9,93.5,100,43,38,77,84,61,83,75,68,69,59,80,.,.,.,79,72,69.8,6.7,1329,18.3,125.2,66.1,3.2,3.2,5.9,52.8,10.4,24.5,82668,69090,49727,42336,15.2,5.7,10.8,19.7,16.9,24.1,10.5,7.6,1.5,89.4,1.5,78.4,10.5,4.1,1,5.5,0.5,250216,1.289,10442863,14729,39.7,37.7,22.6,3883547,0,10110041,8794377,12404,56.6,8.5,5.8,8.8,20.3,4974521,7016,45.4,39,7.1,0.1,3.2,0.1,3,1,1.2,0,500 to 999,Rural,"$234,604 to < $255,082",$1.2321 to under $1.3593
GILMER ISD,230902,230 UPSHUR,07,Met Standard,4,2390,15.4,13.1,66.8,0.6,0.7,0,3.4,61.9,5.3,8.1,5.1,21.7,5,95.4,0.6,98.6,96.1,137,116,76,81,62,77,79,77,64,74,80,85,69,.,79,69,67.2,18.5,1474,19.3,345,182.3,1.6,2.8,6.8,52.9,9.3,26.6,88834,76184,53474,43897,18.6,6.9,13.1,39.4,12.4,21.4,19,8.8,3.3,86.8,1.1,83,5.6,4.4,0.7,3.3,3.1,359301,1.195,22558228,9349,38.2,50.7,11.1,3118822,0,21202392,19003280,7875,52.3,4,5.9,11.5,26.3,9936505,4118,62.3,10.9,9.6,0.8,3.6,0.5,7,1.3,3.8,0.3,"1,600 to 2,999",Other Central City Suburban,"$338,619 to < $381,395",$1.1254 to under $1.2321
ORE CITY ISD,230903,230 UPSHUR,07,Met Standard,3,847,9.9,14.3,74.5,0.4,0.1,0,0.8,65.5,5.9,11.1,5.9,25,5.3,95.7,0.8,95.5,98.4,46,35,78,83,63,79,81,79,74,79,79,90,-1,.,70,75,43.5,10,1360,18.6,135.8,70.5,2.2,2.9,5,51.9,16.4,21.6,75930,59733,51197,40916,11.7,6.2,12,46.1,10.8,19.9,25.8,1.4,4.3,94.3,0,74.5,10.5,2.3,1.4,9.7,1.6,154584,1.335,8886212,9841,63.2,22.9,13.9,2189171,0,8756527,7826555,8667,57.6,8.7,5.1,10.7,17.8,4510774,4995,55.3,16.9,14.5,0.3,5.2,0.5,4.4,0.7,2.4,0,500 to 999,Non-metropolitan Stable,"$148,669 to < $184,624",$1.2321 to under $1.3593
UNION HILL ISD,230904,230 UPSHUR,07,Met Standard,2,284,12,16.2,67.3,0.4,0.4,0.4,3.5,63.7,7,4.9,6.7,37.7,7,96.7,0,96.9,100,33,29,80,85,66,81,80,81,81,81,79,.,83,.,89,78,78.8,15.4,-1,19,48.3,26.1,2.1,8.1,7.4,54,8,20.5,95822,42014,38864,41261,16.4,5.9,10.9,19.2,12.6,19.6,18.5,11.5,0,84.7,3.8,87.9,3.1,0,0,9,0,300493,1.04,3055307,10218,54,34.9,11.1,1470976,0,2741242,2663702,8909,54.8,8.5,5,11,20.7,1459341,4881,61.3,7.3,15.2,0.4,8.7,0.6,6,0.5,0,0,Under 500,Rural,"$290,480 to < $310,123",Under $1.1254
HARMONY ISD,230905,230 UPSHUR,07,Met Standard,4,1098,0.5,15.9,80.7,0.7,0.5,0,1.5,50.4,5,7,5,35.1,7.4,96.2,0.3,98.7,95.2,73,64,81,85,69,80,87,79,63,69,83,100,100,.,71,73,76.7,30.4,1516,21.4,162.9,82.5,2.5,6.5,6.8,50.7,13.4,20.2,63729,50734,38813,42638,4.9,6.7,13.3,17,15.4,10.9,10.8,0,2.4,95.2,2.4,82.1,8,0,1.2,8.7,0,355490,1.112,9790023,9107,45.7,46,8.4,1700590,0,9614277,8951844,8327,55.6,4.1,5.7,14.5,20.2,4972676,4626,65,11,10,0.8,8,0.6,4.3,0,0.3,0,"1,000 to 1,599",Independent Town,"$338,619 to < $381,395",Under $1.1254
NEW DIANA ISD,230906,230 UPSHUR,07,Met Standard,4,1024,8.4,10.2,74.7,0.6,0.5,0,5.7,37.6,3.5,6.7,3.4,27,7.7,96.8,0.6,92.5,100,61,60,83,89,72,84,87,77,64,82,85,100,100,.,86,78,83.6,23.5,1348,20,130.6,67.6,2.3,4.1,5.4,51.7,12.9,23.5,78361,62200,47239,41974,12.9,7.8,15.2,22.2,13.5,16.3,14.1,3,3,91.1,3,80.3,8.3,1.7,0.8,7.4,1.4,162412,1.12,8962625,8999,66.1,27.8,6.2,1486556,0,7819991,7304715,7334,55.4,7.5,5.8,11.2,20.1,4048091,4064,65.6,9.7,7.1,0.1,8.1,0.4,5.1,1.6,2.2,0,"1,000 to 1,599",Other Central City Suburban,"$148,669 to < $184,624",Under $1.1254
UNION GROVE ISD,230908,230 UPSHUR,07,Met Standard,3,755,0.3,4.8,90.7,0.9,0.4,0.1,2.8,41.3,1.1,6.5,1.1,33,10.6,96.3,0.4,98.4,95.7,63,53,79,86,59,84,81,74,86,84,79,65,-1,-1,81,76,52.4,33.3,1613,21.5,114.1,61,1.8,2.6,7.9,53.4,8.6,25.6,90111,65005,37841,45588,5.2,6.6,12.4,9.8,20.9,18,14.4,0,1.6,95.1,3.3,71.4,5.3,4.9,0,13.4,5,245932,1.295,8120473,10643,57.6,34.7,7.7,4486179,0,12178885,6519758,8545,55,7.4,6.6,11.3,19.8,3583191,4696,62.4,9,7.9,0.1,11.4,0.4,5.9,1.5,1.3,0,500 to 999,Rural,"$234,604 to < $255,082",$1.2321 to under $1.3593
MCCAMEY ISD,231901,231 UPTON,18,Met Standard,3,534,1.7,69.5,27.3,0.6,0,0,0.9,50.7,3.7,6.6,3,18,7.3,96.4,0,100,100,21,16,64,68,44,63,70,70,81,60,73,100,.,.,91,59,-2,0,.,17.4,85.4,43.8,2.7,0.7,6.3,51.3,10.5,28.5,74652,73404,56986,48271,42.6,6.3,12.2,32,12.2,24.4,17.2,0,21.2,69.7,9.1,84.3,6.4,2.3,0,4.6,2.4,2992216,1.323,11624556,22749,22.2,70.5,7.3,214023,0,18207722,8127696,15905,45.8,12.4,5.5,14.7,21.7,3721235,7282,51,23.9,10.7,0.3,5.4,0.4,6.4,0,1.9,0,500 to 999,Rural,"$1,930,702 and over",$1.2321 to under $1.3593
RANKIN ISD,231902,231 UPTON,18,Met Standard,1,261,0.4,43.7,54.4,1.1,0,0,0.4,45.2,8,6.1,7.3,20.7,5.4,96.2,0,100,100,12,11,70,72,67,75,70,58,-1,59,81,67,.,.,.,60,91.7,27.3,.,19.5,56.7,26.2,2.6,4,3.5,46.3,19.2,24.4,79333,80238,56056,44685,26.1,4.6,10,30.5,12.6,13.1,25.4,0,11.4,88.6,0,89.1,3.5,3.7,0,3.7,0,10393562,1.08,6510631,27587,15.2,81.6,3.2,2728501,0,7057995,4131525,17506,50.7,11.7,7.7,12.6,17.2,2096035,8882,63.8,5.8,14.1,0.3,4.2,1.9,6.8,0,3.2,0,Under 500,Rural,"$1,930,702 and over",Under $1.1254
KNIPPA ISD,232901,232 UVALDE,20,Met Standard,1,323,0,54.5,44.6,0.3,0.6,0,0,36.2,1.5,3.1,1.5,21.1,12.7,96.9,0,75,100,8,4,92,93,84,94,90,97,.,90,95,.,100,.,.,89,50,-1,-1,.,38.7,23.3,2.9,2.6,2,60.2,10.3,21.9,66328,35000,57500,46262,40,8.3,13.8,34.3,12.9,35.7,30.6,0,12.9,87.1,0,84.1,9.1,4.3,0,2.5,0,159097,1.1,3165839,10588,72,20.1,7.9,782163,0,2383266,2340461,7828,61.3,9.2,3.2,9.5,16.8,1435124,4800,64.7,6.8,13.1,0.1,5.1,0.4,5.3,0,4.4,0,Under 500,Non-metropolitan Fast Growing,"$148,669 to < $184,624",Under $1.1254
SABINAL ISD,232902,232 UVALDE,20,Met Standard,3,521,0.6,69.1,28.6,0.6,0,0,1.2,64.7,4.6,8.6,4.6,26.9,6.7,95.8,2,97.2,100,36,31,63,69,46,68,67,54,-1,61,67,73,.,.,83,56,80.6,3.4,1297,18.2,80.6,41.2,1.9,2.5,12.8,51.2,8.7,23,100913,72786,59110,40929,45.3,6.5,12.6,43.6,9.4,12.7,17,2.4,24.5,73,0,81.2,4,7.3,1.2,5.1,1.2,375294,0.87,7230064,13194,55.8,27.9,16.3,678075,0,6988710,6020786,10987,54,9.1,4.3,12.2,20.5,3248530,5928,43.5,29.4,15.3,0.1,3.9,0.2,5.6,0,1.9,0,500 to 999,Rural,"$338,619 to < $381,395",Under $1.1254
UVALDE CISD,232903,232 UVALDE,20,Improvement Required,9,4843,0.3,90,8.6,0.2,0.6,0.1,0.2,81.4,5.9,12.1,7,21.2,9.5,94.4,5.2,88.3,90.5,275,247,59,65,42,64,63,51,48,57,79,59,93,40,76,54,56.4,5.8,1284,16.3,630.8,339.8,1.1,2.3,8.1,53.9,13.2,21.4,83482,60664,55978,42188,63.2,7.7,14.3,38.6,11.1,17.9,26.9,0.9,53.9,43.8,1.4,65.5,13.5,9.3,3.4,3.6,4.6,167761,1.243,48928060,10206,52.7,24,23.3,7299372,0,44608935,39489974,8237,57.7,6,4.4,9.9,22,22776495,4751,47.2,18.2,19.2,1,3,0.3,3.1,1.3,4.5,2.3,"3,000 to 4,999",Independent Town,"$148,669 to < $184,624",$1.2321 to under $1.3593
UTOPIA ISD,232904,232 UVALDE,20,Met Standard,1,214,1.4,17.3,80.8,0,0,0,0.5,43.5,5.1,8.9,4.2,31.3,3.3,95.8,0,94.7,100,18,13,86,89,69,85,89,90,-1,78,87,.,.,.,100,81,83.3,66.7,1633,24.9,36.9,20.4,6.7,2.1,3.5,55.2,8.1,24.4,59922,70000,50619,45016,21.7,5.8,10.5,14.7,15.1,11.6,14.2,0,4.9,95.1,0,88,5.6,0,0,6.4,0,826791,1.04,2555621,12652,18.7,73.5,7.7,1001767,0,2456409,2373814,11752,50.2,8.5,6.2,11,24.2,1190848,5895,64.9,8.3,16.2,0.2,9.8,0.5,0,0,0.1,0,Under 500,Rural,"$678,171 to < $1,930,702",Under $1.1254
SAN FELIPE-DEL RIO CISD,233901,233 VAL VERDE,15,Met Standard,12,10300,0.8,91.5,6.9,0.1,0.3,0.1,0.4,73.4,16,8,14.7,24.5,8.5,96.5,1.2,90.4,87.4,603,429,69,73,55,72,74,67,81,68,84,59,93,80,95,64,52.4,12.7,1350,18.6,1397.9,651.4,1.3,2.3,6.2,46.6,11.7,32,78454,67055,57885,46802,84.5,7.4,15.8,32,13.5,20.7,13.4,0.8,74.4,23.7,1.1,83.2,4.4,0,6.2,3.7,2.5,142176,1.189,94666180,9200,60,19.4,20.6,48117648,0,95765515,81696480,7939,57.8,6.6,4.4,11.5,19.7,47247284,4592,52.9,10.3,18.9,7.4,4.5,0.9,3.2,1.2,0.8,0,"10,000 to 24,999",Independent Town,"$100,904 to < $148,669",$1.1254 to under $1.2321
COMSTOCK ISD,233903,233 VAL VERDE,15,Met Standard,1,208,0.5,46.6,50.5,0.5,1,0,1,28.4,1,7.2,1,42.3,3.8,97,0,92.9,100,13,13,84,90,78,78,88,86,100,81,88,-1,100,.,-1,73,100,7.7,1402,-1,32,20,3.1,0,0,62.5,12.5,21.8,73000,.,.,44864,40.6,6.5,10.4,25,13.8,30,20,0,35,65,0,95,2.6,0,0,2.4,0,861678,1.2,2903355,13504,27.7,67.5,4.8,412063,0,2975611,2284433,10625,53,9.6,4.3,10.4,22.7,1210250,5629,65.3,9.2,9.6,0,3.1,5.3,5.5,2.2,0,0,Under 500,Rural,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
RANCH ACADEMY,234801,234 VAN ZANDT,07,Not Rated,2,100,14,15,69,0,0,0,2,47,0,35,0,51,0,96.4,1.4,55.2,48.6,17,10,58,64,48,59,64,57,42,.,64,.,.,-1,-1,61,0,.,.,.,24.9,16.9,4,4,12.1,67.8,0,12.1,105420,68000,57925,41387,0,4,5.9,17.8,14.6,29.7,23.2,0,0,100,0,86.4,4.3,0,0,9.3,0,.,.,1749194,17669,81.3,0.7,18,0,679142,1797106,1797106,18153,59.9,6.8,17.2,7.7,8.4,1076723,10876,53.6,26.7,17.5,0,1.7,0,0,0.5,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
CANTON ISD,234902,234 VAN ZANDT,10,Met Standard,4,2068,2,9.8,83.9,1.4,0.5,0,2.5,39.5,3.1,7.2,3.1,25.1,7.4,96.6,0.2,97.8,96.2,132,84,88,90,80,89,91,88,67,85,89,92,100,.,88,82,54.5,34.7,1509,21.9,219.7,133.8,1.4,4.1,5.1,60.9,13.4,15.1,90544,60660,49693,43969,4.3,9.4,15.5,16.5,14.3,14.7,12.6,0,0.5,92.8,6.7,71.1,8.8,8,0.1,4.9,7.1,297480,1.471,18707238,9275,42.6,51.9,5.6,2581298,0,17550764,13717418,6801,60.8,4.9,5.7,10.6,17.9,8340274,4135,66.8,11.4,8.5,0.1,5.9,0.4,4.7,1.7,0.6,0,"1,600 to 2,999",Independent Town,"$290,480 to < $310,123",$1.3593 and over
EDGEWOOD ISD,234903,234 VAN ZANDT,07,Met Standard,4,898,5.5,8.4,81.5,0.6,0.2,0,3.9,46.9,1.8,11.5,1.8,30.5,9,96.4,0.7,90.7,96.5,66,58,83,84,67,84,86,93,72,77,84,86,.,.,81,77,51.5,29.4,1503,21.3,131.2,74.8,1.5,3,6.9,57,10.7,20.9,84934,73072,51162,45382,4.5,6.8,12,13.4,16.8,9.4,14.5,1.3,4,93.3,1.3,69.9,13.1,4,0.3,9.1,3.7,220468,1.214,11535714,12324,48,36.1,15.9,1166809,0,10239417,9395937,10038,56.7,6,5.2,9.1,23,5324212,5688,40.6,39.2,6.8,0.4,5.1,1.5,3.9,1.3,1.4,0,500 to 999,Non-metropolitan Stable,"$200,659 to < $226,787",$1.1254 to under $1.2321
GRAND SALINE ISD,234904,234 VAN ZANDT,07,Met Standard,5,1090,1,25.4,71.5,0.9,0.2,0,1,63.3,9.6,9.2,9.6,28.5,6.2,95.7,2.9,87.5,95.5,95,68,77,82,59,74,82,83,50,72,79,-1,100,.,79,69,45.3,16.3,1374,20.4,168.3,86.6,2.4,3.6,7.6,51.4,10,25,75303,68101,42707,43368,7.7,6.5,12.6,29,12.4,16.7,19,0,2.3,95.4,2.3,77.8,9.5,3.5,0.4,4.3,4.5,210280,1.342,12293825,11126,61.9,28.8,9.3,4060045,0,19288934,10294221,9316,55.6,7.3,5.1,12.6,19.4,5723501,5180,61.2,12.2,13.5,1,4.4,0.8,5.2,1.8,0,0,"1,000 to 1,599",Non-metropolitan Stable,"$200,659 to < $226,787",$1.2321 to under $1.3593
MARTINS MILL ISD,234905,234 VAN ZANDT,07,Met Standard,2,483,1.9,17,78.7,0.6,0.2,0.6,1,50.1,7,12,7,34.4,6.2,97.3,0.7,96.6,96.9,28,26,85,89,76,85,90,79,50,77,88,100,-1,100,70,78,78.6,18.2,1439,22.3,74.5,40.7,1.3,3.5,4.6,54.7,8,27.9,124315,62001,39584,43089,4,6.5,11.9,19.3,13.1,13.2,18.8,0,0,100,0,91.4,3.5,0,0,4.8,0.3,185560,1.183,4961356,10379,64.9,26,9.1,937700,0,4739851,4469266,9350,59.8,7.5,4.5,8.9,19.3,2672720,5591,61.8,12.4,11.4,0.3,8.8,0.1,4.3,0.5,0,0.5,Under 500,Rural,"$184,624 to < $200,659",$1.1254 to under $1.2321
VAN ISD,234906,234 VAN ZANDT,07,Met Standard,5,2245,3.3,18.2,75.2,1,0.3,0.1,1.7,53.8,5.7,9.8,5.6,32,4.2,95.5,0.8,95.3,90.3,159,134,80,83,67,83,84,80,63,78,82,69,100,75,59,74,54.7,26.4,1487,21.9,307.3,149,1.3,3.4,6.7,48.5,8.9,31.2,96031,62995,54409,43483,6.4,7.3,15.1,25.5,12.8,16.3,14.1,0.7,0.7,98,0.7,77.5,10.2,2,1.1,6.2,2.9,255227,1.556,22367882,9836,49,41.2,9.8,3344469,0,21302532,18084266,7953,47.9,7.4,6.2,13.5,25,8654348,3806,69.8,11,9.6,0.2,5.2,0,4.2,0,0.1,0,"1,600 to 2,999",Other Central City Suburban,"$255,082 to < $275,100",$1.3593 and over
WILLS POINT ISD,234907,234 VAN ZANDT,10,Met Standard,5,2524,4.7,18.7,71.8,1.2,0.3,0.1,3.1,64.2,5.6,9.1,5.5,29.3,5.6,96,0.5,95.2,98.5,162,132,72,75,53,74,79,71,59,66,73,70,100,.,77,65,50,25.9,1527,21.9,362.9,177.3,1.7,2.6,7.1,48.9,11.6,28.2,80021,69385,51844,44023,12.6,7,14.2,26.5,12.8,16.7,16.4,3.4,2.3,88.7,5.6,79.2,4.2,6,1.6,8,1,195549,1.145,23238409,9124,55.1,27.9,17,4648229,0,22160077,19993348,7850,56.4,5.6,5.5,9.4,23.1,11276975,4428,53.6,15.2,13.5,1.6,5.6,1.2,4.3,1.9,2.5,0.6,"1,600 to 2,999",Other Central City Suburban,"$184,624 to < $200,659",$1.1254 to under $1.2321
FRUITVALE ISD,234909,234 VAN ZANDT,07,Met Standard,3,407,1,11.1,81.8,1,0.7,0,4.4,72,2.5,10.1,2.5,41.5,13.5,96.4,4,94.1,95.8,14,12,77,84,67,74,79,77,89,71,77,-1,100,.,91,73,50,14.3,.,19.6,71.3,33.2,2.8,4.2,5.6,46.6,13.9,26.9,81619,70282,48137,43734,4.8,5.7,12.2,30.8,10.4,15,29.1,0,0,97,3,68.5,9,12.7,0.4,9.4,0,134456,1.17,4425477,10221,69.7,17.4,12.9,1575692,0,4018298,3726180,8605,54.7,8.3,5.8,9.8,21.4,2038887,4709,57.4,10.1,16.7,0.2,6.5,0.4,5,1,2.8,0,Under 500,Rural,"$100,904 to < $148,669",$1.1254 to under $1.2321
BLOOMINGTON ISD,235901,235 VICTORIA,03,Improvement Required,4,905,5.1,82.9,10.7,0,0,0,1.3,66.1,12.3,9.6,11.8,27,4.9,95.1,0.4,82.1,84.6,34,9,59,63,45,57,76,55,63,58,70,.,.,.,70,56,23.5,12.5,1294,.,122.5,54.9,1.6,3.3,8.3,44.8,10.3,31.7,91930,74803,41866,42738,43.1,7.4,16.5,34.6,11,9.1,29.8,5.5,30.8,61.9,1.8,68.6,10.4,4.5,4.7,6.3,5.5,166650,1.515,9472499,10964,60,25.8,14.3,2736467,0,9142340,7369224,8529,46.7,6.1,6.3,16.7,24.1,3441935,3984,54.4,17.8,19,0.2,3.1,0.7,4.2,0.4,0.1,0,500 to 999,Non-metropolitan Stable,"$148,669 to < $184,624",$1.3593 and over
VICTORIA ISD,235902,235 VICTORIA,03,Improvement Required,27,14460,7.8,62.3,27.6,0.2,0.9,0,1.1,63.2,3.9,9.1,3.7,28.2,4.8,94.5,2,85.9,84.9,717,494,66,72,53,67,70,62,55,59,83,65,88,81,76,57,38.5,21,1400,20.5,2152.8,982.2,1.5,2.9,7.7,45.6,13,29.3,72933,62013,50712,45333,43.1,6.7,14.7,33.6,12.3,16.3,19.5,3.8,21.4,73.5,1.3,74.5,7.2,7.1,0.7,4.5,6,299713,1.323,131395305,9167,36.6,49.5,13.9,13673460,0,127284678,112376914,7840,55.1,5.7,5.7,10.3,23.2,61932412,4321,55,17,12.6,2,3.7,2.7,3.6,0,3.3,0,"10,000 to 24,999",Independent Town,"$290,480 to < $310,123",$1.2321 to under $1.3593
NURSERY ISD,235904,235 VICTORIA,03,Met Standard,2,102,2,49,43.1,0,0,0,5.9,54.9,7.8,7.8,7.8,0,16.7,97.1,.,.,.,.,.,81,89,70,78,69,.,-1,76,81,.,.,.,100,77,.,.,.,.,16.6,10.7,6,0,0,64.6,11.6,17.8,70000,.,.,42681,11.6,6.1,9.5,44.1,12.6,9.3,26.5,0,0,90.7,9.3,75.3,9.3,9.3,2.9,0,3.2,1525473,1.1,1569303,13299,9.2,80.9,9.9,458513,0,1337486,1050730,8904,54.4,7.9,8.1,12.5,17.1,571078,4840,69.7,9.8,17.9,0.1,0,2.5,0,0,0,0,Under 500,Rural,"$678,171 to < $1,930,702",Under $1.1254
RAVEN SCHOOL,236801,236 WALKER,06,Not Rated,1,100,40,40,20,0,0,0,0,100,0,28,0,99,0,100,11.2,4.3,6.5,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,16,-1,.,.,.,26.1,13.5,3.8,3.8,11.5,51.9,28.9,0,55000,85000,42582,44220,30.7,3.8,7.4,33.5,11.7,22.2,43.2,29.6,7.4,63.1,0,33.2,7.4,0,0,59.4,0,.,.,2106574,20452,64.1,1,34.9,0,1758356,2350764,2350764,22823,69.3,1.7,8,15.1,5.9,1629338,15819,16.5,8.6,44.4,0.1,27.9,0,0,2.7,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
NEW WAVERLY ISD,236901,236 WALKER,06,Met Standard,4,889,21.3,14.4,60.5,0.6,0,0,3.3,52.5,3.6,10.9,3.3,25.8,6.1,95.9,0.3,96.2,98.2,80,49,81,87,71,82,83,71,68,74,86,100,.,.,79,74,77.5,14.5,1489,19.6,142.6,70,2.1,3.5,4.9,49.1,18.9,21.5,81532,66734,57732,41789,25.1,6.2,12.7,32.9,12.3,12.9,15.7,14.3,1.4,81.4,2.9,79.5,11.1,1.1,0,5.4,2.9,216799,1.261,9405502,10212,55.9,34.2,10,1706635,0,9464615,8549310,9283,54.8,6.6,5.5,11.7,21.4,4683528,5085,57.4,20,8.8,0.6,4.7,0.4,5.6,1.6,0.2,0.9,500 to 999,Non-metropolitan Stable,"$200,659 to < $226,787",$1.2321 to under $1.3593
HUNTSVILLE ISD,236902,236 WALKER,06,Met Standard,8,6321,24.5,30.3,41.8,0.3,1,0,2.2,64.1,11.6,8.6,11.2,24.5,6.1,96.4,1.1,91,93.5,368,325,70,72,54,72,74,69,56,67,78,63,99,.,73,63,62.2,14.4,1376,18.2,833.8,420.7,1.2,3.9,6.7,50.5,10.1,27.6,93261,58051,50676,41543,28.4,7.6,15,39.9,10.9,16.2,22.1,8.3,6.7,84.8,0.2,66.6,14.1,3.9,5.4,4.2,5.8,283586,1.21,53743029,8606,42.1,44.1,13.8,15548546,0,54269893,47997172,7686,55.5,6.8,5.1,13.6,19.1,26619008,4262,59,14.4,13.3,1,5.1,0.8,2.5,1,1.4,1.5,"5,000 to 9,999",Independent Town,"$275,100 to < $290,480",$1.1254 to under $1.2321
HEMPSTEAD ISD,237902,237 WALLER,04,Met Standard,4,1525,26.9,53.5,18,0.1,0.7,0,0.9,79.9,21.3,9.8,19.2,23.7,8.1,96,0.7,95.5,97.9,114,78,65,66,49,66,70,68,56,64,78,-1,86,.,91,62,50.9,5.2,1224,17.1,215.3,113.4,1.9,2.8,7.6,52.7,10.2,24.9,84211,68522,53709,45610,47.3,7.1,13.4,48.2,9.3,18.3,26.7,18.5,14.1,63.8,3.5,62.5,13.5,5.7,9.6,5.8,2.8,274581,1.38,15553964,10495,47.4,38.9,13.7,890996,0,16826639,13886905,9370,59.7,6,5.5,10.9,17.8,8289316,5593,55.6,16.7,12.2,1.5,5.8,0.3,3.9,1.1,1.7,1.2,"1,000 to 1,599",Non-metropolitan Stable,"$255,082 to < $275,100",$1.3593 and over
WALLER ISD,237904,237 WALLER,04,Met Standard,8,5705,10.7,48.4,37.3,0.8,0.5,0.1,2.1,65.3,23.6,7.4,25.6,21.9,4.2,95.9,0.1,98.4,99.4,368,284,81,84,65,85,87,78,75,78,87,64,73,83,84,77,58.2,17.8,1411,19.1,728.9,341.2,1.4,2.9,10.5,46.8,7.5,30.9,90558,69639,54187,49449,34.3,7.8,16.7,36,9.9,20.9,14,9.6,18.1,70.5,1.8,68.8,7.7,4.8,6.8,5.2,6.8,315326,1.44,55896870,9980,37.1,48.8,14,10070529,0,53292305,45627718,8146,55.4,7.2,5,11.9,20.5,25277037,4513,47.1,11.5,18.7,8.1,3.9,4.8,3.4,1.3,1.2,0,"5,000 to 9,999",Independent Town,"$310,123 to < $317,535",$1.3593 and over
ROYAL ISD,237905,237 WALLER,04,Met Standard,4,2088,19.4,69.6,9.2,0.1,0.1,0,1.5,83.5,30.2,8.1,28.9,31.6,4.3,95.6,0.2,91.9,93.5,132,109,65,67,46,67,76,64,59,65,79,-1,100,.,74,62,58.3,11.7,1426,18.2,281.2,157.2,2.3,3.6,10.6,55.9,10.3,17.4,78026,69479,51146,44777,53.2,7.4,13.3,52.2,9.1,11.3,24.2,26.1,23.5,48.5,1.9,60.3,8.9,5.5,16.1,7.8,1.3,350425,1.585,23865388,11375,34.3,54.1,11.6,5007873,0,23200343,18404149,8772,56.3,7.1,5.7,8.4,22.6,10357016,4937,42.4,17.1,15.4,9.6,5.8,0.7,3.1,2.3,1.4,2.3,"1,600 to 2,999",Other Central City Suburban,"$338,619 to < $381,395",$1.3593 and over
